name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,hipe,1,12,441,0.220,600,0,0% 5% 86% 9%,0.219
binarytrees,hipe,1,16,441,1.656,33820,0,2% 16% 82% 0%,1.658
binarytrees,hipe,1,20,441,42.811,374704,0,66% 34% 0% 0%,42.786
binarytrees,ats,1,12,1025,0.000,0,-11,%,0.000
binarytrees,ats,1,16,1025,0.000,0,-11,%,0.000
binarytrees,ats,1,20,1025,0.000,0,-11,%,0.000
binarytrees,java,1,12,919,0.204,0,0,14% 80% 21% 17%,0.173
binarytrees,java,1,16,919,1.976,147588,0,44% 67% 77% 52%,0.805
binarytrees,java,1,20,919,53.131,693364,0,71% 80% 77% 73%,17.448
binarytrees,clean,3,12,539,0.064,0,0,0% 100% 0% 0%,0.067
binarytrees,clean,3,16,539,1.256,189456,0,0% 1% 100% 0%,1.261
binarytrees,clean,3,20,539,44.807,262704,0,0% 0% 100% 0%,44.807
binarytrees,gcc,5,12,963,0.156,0,0,57% 33% 83% 50%,0.061
binarytrees,gcc,5,16,963,3.000,20740,0,80% 82% 97% 89%,0.865
binarytrees,gcc,5,20,963,67.504,548876,0,90% 88% 96% 92%,18.388
binarytrees,fsharp,1,12,587,0.420,9184,0,0% 0% 2% 95%,0.445
binarytrees,fsharp,1,16,587,8.357,35928,0,8% 0% 0% 91%,8.367
binarytrees,fsharp,1,20,587,181.587,390084,0,100% 0% 0% 0%,181.588
binarytrees,perl,1,12,481,2.352,5236,0,0% 0% 100% 0%,2.357
binarytrees,perl,1,16,481,65.784,53620,0,0% 0% 0% 100%,65.785
binarytrees,perl,1,20,481,1635.978,827684,0,0% 0% 100% 0%,1635.893
binarytrees,tcl,1,12,540,1.812,4736,0,95% 1% 2% 2%,1.906
binarytrees,tcl,1,16,540,41.471,50828,0,0% 0% 0% 100%,41.473
binarytrees,tcl,1,20,540,883.691,788536,0,0% 35% 0% 64%,883.652
binarytrees,sbcl,2,12,553,0.112,0,0,0% 0% 100% 0%,0.113
binarytrees,sbcl,2,16,553,2.148,66928,0,0% 0% 0% 97%,2.149
binarytrees,sbcl,2,20,553,66.500,552652,0,0% 0% 0% 100%,66.499
binarytrees,ats,2,12,1903,0.000,0,-11,%,0.000
binarytrees,ats,2,16,1903,0.000,0,-11,%,0.000
binarytrees,ats,2,20,1903,0.000,0,-11,%,0.000
binarytrees,hipe,2,12,499,0.244,592,0,22% 33% 19% 46%,0.261
binarytrees,hipe,2,16,499,2.064,45656,0,59% 62% 93% 68%,0.734
binarytrees,hipe,2,20,499,77.897,356996,0,59% 58% 59% 88%,29.241
binarytrees,gcc,4,12,672,0.164,0,0,6% 8% 8% 94%,0.170
binarytrees,gcc,4,16,672,2.844,21644,0,0% 0% 1% 100%,2.845
binarytrees,gcc,4,20,672,61.572,298384,0,0% 0% 0% 100%,61.574
binarytrees,javaxint,2,12,603,0.352,3136,0,3% 0% 95% 3%,0.368
binarytrees,javaxint,2,16,603,6.248,272108,0,1% 1% 97% 1%,6.240
binarytrees,javaxint,2,20,603,133.228,531644,0,99% 2% 3% 2%,126.064
binarytrees,mlton,2,12,530,0.072,0,0,0% 0% 70% 0%,0.074
binarytrees,mlton,2,16,530,1.548,58528,0,0% 0% 100% 1%,1.549
binarytrees,mlton,2,20,530,33.354,1627224,0,100% 1% 0% 0%,33.351
binarytrees,cal,1,12,736,0.252,32576,0,9% 54% 39% 13%,0.231
binarytrees,cal,1,16,736,1.272,82284,0,8% 16% 85% 5%,1.123
binarytrees,cal,1,20,736,57.724,331232,0,14% 48% 35% 30%,44.714
binarytrees,csharp,2,12,650,0.196,0,0,0% 0% 95% 0%,0.206
binarytrees,csharp,2,16,650,4.104,34744,0,98% 4% 32% 9%,4.139
binarytrees,csharp,2,20,650,89.102,464196,0,0% 1% 0% 100%,89.114
binarytrees,tracemonkey,1,12,467,1.176,146528,0,99% 1% 1% 0%,1.201
binarytrees,tracemonkey,1,16,467,25.354,146848,0,0% 0% 100% 0%,25.349
binarytrees,tracemonkey,1,20,467,0.000,145636,-2,0% 0% 100% 0%,0.886
binarytrees,javascript,1,12,467,3.024,187708,0,1% 1% 99% 0%,3.075
binarytrees,javascript,1,16,467,66.944,244116,0,0% 0% 100% 0%,66.940
binarytrees,javascript,1,20,467,0.000,855668,-2,0% 0% 100% 0%,9.388
binarytrees,ruby,1,12,412,1.620,5836,0,1% 1% 93% 1%,1.777
binarytrees,ruby,1,16,412,37.730,54052,0,0% 0% 100% 0%,37.731
binarytrees,ruby,1,20,412,1253.726,781228,0,0% 0% 100% 0%,1253.654
binarytrees,php,2,12,493,2.228,13248,0,0% 100% 0% 1%,2.229
binarytrees,php,2,16,493,58.536,148548,0,0% 100% 0% 0%,58.533
binarytrees,php,2,20,493,1340.820,2311980,0,0% 0% 100% 0%,1340.843
binarytrees,ocaml,2,12,784,0.080,0,0,0% 0% 20% 80%,0.079
binarytrees,ocaml,2,16,784,2.840,69368,0,75% 41% 67% 29%,1.331
binarytrees,ocaml,2,20,784,88.354,157652,0,82% 81% 95% 90%,25.283
binarytrees,mzscheme,2,12,503,0.252,3984,0,0% 96% 0% 4%,0.255
binarytrees,mzscheme,2,16,503,3.428,58816,0,1% 100% 1% 0%,3.439
binarytrees,mzscheme,2,20,503,81.585,323384,0,100% 0% 0% 0%,81.585
binarytrees,gpp,5,12,606,0.024,0,0,100% 0% 0% 0%,0.030
binarytrees,gpp,5,16,606,0.676,10444,0,0% 0% 100% 2%,0.677
binarytrees,gpp,5,20,606,16.485,296160,0,100% 0% 0% 0%,16.484
binarytrees,swiprolog,1,12,790,1.628,4444,0,0% 0% 1% 99%,1.632
binarytrees,swiprolog,1,16,790,260.036,23896,0,0% 0% 0% 100%,260.022
binarytrees,swiprolog,1,20,790,0.000,68124,-2,0% 0% 0% 100%,32.358
binarytrees,pike,1,12,520,1.276,5492,0,0% 0% 100% 0%,1.280
binarytrees,pike,1,16,520,29.522,32376,0,0% 0% 0% 100%,29.528
binarytrees,pike,1,20,520,959.780,463536,0,0% 0% 0% 100%,959.716
binarytrees,javaxint,1,12,919,1.032,28040,0,66% 48% 63% 70%,0.433
binarytrees,javaxint,1,16,919,20.993,275728,0,93% 61% 95% 95%,6.121
binarytrees,javaxint,1,20,919,524.317,513188,0,89% 89% 89% 98%,143.829
binarytrees,gpp,4,12,954,0.108,0,0,43% 43% 29% 60%,0.058
binarytrees,gpp,4,16,954,3.260,27944,0,53% 62% 66% 68%,1.207
binarytrees,gpp,4,20,954,68.944,437360,0,68% 77% 67% 67%,23.150
binarytrees,groovy,2,12,506,3.608,115132,0,33% 32% 29% 37%,3.079
binarytrees,groovy,2,16,506,9.749,422964,0,97% 2% 14% 10%,7.901
binarytrees,groovy,2,20,506,188.204,898996,0,12% 9% 13% 91%,150.585
binarytrees,python,1,12,423,0.868,4400,0,0% 0% 100% 0%,0.867
binarytrees,python,1,16,423,22.957,24332,0,74% 26% 1% 1%,22.966
binarytrees,python,1,20,423,1864.165,445172,0,0% 0% 100% 0%,1864.063
binarytrees,perl,2,12,541,1.988,4912,0,1% 0% 0% 99%,2.002
binarytrees,perl,2,16,541,50.611,70092,0,0% 0% 0% 100%,50.608
binarytrees,perl,2,20,541,1276.888,1091276,0,0% 0% 100% 0%,1276.854
binarytrees,ifc,1,12,826,0.096,0,0,8% 0% 92% 0%,0.119
binarytrees,ifc,1,16,826,2.216,8656,0,0% 0% 100% 0%,2.217
binarytrees,ifc,1,20,826,46.543,131540,0,0% 0% 0% 100%,46.546
binarytrees,erlang,1,12,441,0.276,576,0,0% 14% 83% 0%,0.282
binarytrees,erlang,1,16,441,4.224,34968,0,1% 99% 0% 0%,4.222
binarytrees,erlang,1,20,441,95.850,373984,0,6% 83% 10% 1%,95.827
binarytrees,jruby,1,12,412,2.840,102360,0,38% 35% 54% 18%,2.096
binarytrees,jruby,1,16,412,13.297,277424,0,9% 84% 23% 14%,10.123
binarytrees,jruby,1,20,412,310.199,1979764,0,11% 30% 76% 16%,232.363
binarytrees,sbcl,3,12,1448,0.120,0,0,18% 10% 78% 27%,0.096
binarytrees,sbcl,3,16,1448,0.792,616,0,85% 45% 58% 59%,0.329
binarytrees,sbcl,3,20,1448,13.981,131296,0,73% 87% 67% 79%,4.592
binarytrees,gpp,6,12,888,0.044,0,0,50% 33% 50% 100%,0.020
binarytrees,gpp,6,16,888,1.152,21240,0,50% 48% 84% 75%,0.438
binarytrees,gpp,6,20,888,27.782,357820,0,73% 59% 94% 83%,8.819
binarytrees,nice,1,12,485,0.396,284,0,15% 44% 4% 92%,0.256
binarytrees,nice,1,16,485,1.368,287104,0,15% 5% 13% 86%,1.117
binarytrees,nice,1,20,485,22.309,580648,0,7% 15% 7% 89%,18.827
binarytrees,scala,4,12,536,0.132,0,0,56% 31% 0% 0%,0.168
binarytrees,scala,4,16,536,1.072,274592,0,17% 3% 14% 70%,1.022
binarytrees,scala,4,20,536,22.425,572588,0,8% 9% 13% 92%,18.441
binarytrees,vw,1,12,722,0.196,0,0,0% 0% 4% 96%,0.219
binarytrees,vw,1,16,722,5.200,42604,0,0% 100% 0% 0%,5.200
binarytrees,vw,1,20,722,255.004,197716,0,0% 100% 0% 0%,255.002
binarytrees,erlang,2,12,499,0.352,0,0,27% 47% 81% 53%,0.163
binarytrees,erlang,2,16,499,5.224,36696,0,83% 83% 83% 96%,1.489
binarytrees,erlang,2,20,499,119.119,356004,0,90% 88% 86% 87%,33.170
binarytrees,lua,1,12,443,0.716,4664,0,100% 3% 1% 0%,0.719
binarytrees,lua,1,16,443,26.070,107388,0,100% 1% 0% 0%,26.067
binarytrees,lua,1,20,443,657.037,1688964,0,0% 1% 0% 100%,657.004
binarytrees,sbcl,1,12,631,0.088,0,0,0% 0% 0% 100%,0.091
binarytrees,sbcl,1,16,631,1.396,71128,0,0% 0% 32% 100%,2.018
binarytrees,sbcl,1,20,631,36.842,461304,0,0% 0% 0% 100%,36.841
binarytrees,java,2,12,603,0.136,0,0,69% 8% 7% 7%,0.154
binarytrees,java,2,16,603,0.996,206112,0,80% 7% 6% 11%,1.002
binarytrees,java,2,20,603,19.109,548360,0,12% 90% 10% 9%,15.766
binarytrees,clean,1,12,538,0.060,0,0,0% 0% 100% 20%,0.057
binarytrees,clean,1,16,538,0.608,132156,0,0% 0% 100% 0%,0.612
binarytrees,clean,1,20,538,11.037,132172,0,0% 0% 100% 0%,11.036
binarytrees,nice,2,12,759,0.608,372,0,56% 41% 66% 61%,0.269
binarytrees,nice,2,16,759,1.640,262960,0,24% 68% 67% 23%,0.872
binarytrees,nice,2,20,759,30.910,578784,0,43% 63% 18% 89%,14.385
binarytrees,ghc,3,12,544,0.188,0,0,64% 15% 29% 27%,0.137
binarytrees,ghc,3,16,544,1.980,273500,0,30% 81% 67% 60%,0.836
binarytrees,ghc,3,20,544,56.860,431656,0,76% 75% 86% 73%,18.255
binarytrees,ghc,1,12,512,0.048,0,0,0% 0% 83% 0%,0.052
binarytrees,ghc,1,16,512,1.384,21780,0,0% 1% 100% 0%,1.385
binarytrees,ghc,1,20,512,42.603,371988,0,0% 1% 100% 0%,42.602
binarytrees,yap,1,12,719,0.376,5972,0,2% 4% 81% 9%,0.537
binarytrees,yap,1,16,719,7.304,38732,0,0% 0% 100% 0%,7.305
binarytrees,yap,1,20,719,203.805,302152,0,0% 0% 100% 0%,203.796
binarytrees,python,2,12,365,0.984,4720,0,100% 0% 0% 0%,0.986
binarytrees,python,2,16,365,28.090,31352,0,0% 0% 0% 100%,28.086
binarytrees,python,2,20,365,3017.525,445604,0,1% 100% 1% 1%,3017.370
binarytrees,gpp,2,12,553,0.048,0,0,0% 0% 25% 0%,0.053
binarytrees,gpp,2,16,553,1.240,14524,0,100% 1% 0% 0%,1.239
binarytrees,gpp,2,20,553,28.638,214388,0,0% 100% 0% 0%,28.642
binarytrees,ghc,2,12,544,0.044,0,0,0% 25% 100% 0%,0.032
binarytrees,ghc,2,16,544,1.632,27108,0,16% 28% 71% 32%,1.112
binarytrees,ghc,2,20,544,53.355,403944,0,21% 45% 21% 41%,40.177
